FAWN Station,Period,2m T avg (F),2m T min (F),2m T max (F),Tsoil avg-10cm  (F),Tsoil min(avg)-10cm  (F),Tsoil max(avg)-10cm  (F),2m DewPt avg (F),RelHum avg 2m  (pct),2m Rain tot (in),2m Rain max over 15min (in),SolRad avg2m  (w/m^2),10m Wind avg (mph),10m Wind min (mph),10m Wind max (mph),WDir avg10m  (deg),BP avg (mb),N (# obs),2m WetBulb (F),Year,Month,Day,DayOfWeek,Quarter,WeekOfYear,Season,Temp_Range,Soil_Temp_Range,Temp_Category,Apparent_Temp,Wind_Range,Wind_Category,Wind_Chill,Rain_Category,Has_Rain,Rain_Intensity,Humidity_Comfort,Dewpoint_Comfort,Solar_Category,Comfort_Index,Weather_Severity,Station_Avg_Temp,Station_Avg_Rain,Temp_Deviation_From_Station,Temp_Humidity_Interaction,Wind_Rain_Interaction
Apopka,01/01/2022,73.4,66.4,82.4,72.59,70.05,75.51,65.34,78,0,0,156.5,4.29,0,17.83,196,1014,96,67.97,2022,1,1,5,1,52,Winter,16,5.46,Warm,74.27516,17.83,Calm,73.4,No Rain,0,0,Humid,Uncomfortable,Low,94.39295909,0.3416,72.36885949,0.159908759,1.031140511,5725.2,0
Apopka,02/01/2022,73.41,67.06,81.93,73.3,71.33,76.21,68.16,84,0,0,124.04,5.42,0.13,18.36,221,1013,96,69.8,2022,1,2,6,1,52,Winter,14.87,4.88,Warm,74.355252,18.23,Light,73.41,No Rain,0,0,Very Humid,Uncomfortable,Low,94.07527514,0.3873,72.36885949,0.159908759,1.041140511,6166.44,0
Apopka,03/01/2022,61.63,47.97,71.69,71.53,68.76,73.78,50.1,68,0.03,0.03,178.06,9.36,0.43,28.5,309,1016,96,55.06,2022,1,3,0,1,1,Winter,23.72,5.02,Mild,59.751772,28.07,Light,61.63,Light,1,0.12,Humid,Comfortable,Low,74.86996276,0.8529,72.36885949,0.159908759,-10.73885949,4190.84,0.2808
Apopka,04/01/2022,58.21,43.94,72.05,67.77,64.67,70.65,51.42,80,0,0,144.97,5.12,0.05,16.96,39,1019,96,54.32,2022,1,4,1,1,1,Winter,28.11,5.98,Mild,55.09744,16.91,Light,58.21,No Rain,0,0,Humid,Comfortable,Low,92.77965514,0.7943,72.36885949,0.159908759,-14.15885949,4656.8,0
Apopka,05/01/2022,62.97,54.84,74.03,68.73,66.36,71.55,58.64,87,0,0,116.53,4.12,0.02,14.23,353,1014,96,60.27,2022,1,5,2,1,1,Winter,19.19,5.19,Mild,60.951687,14.21,Calm,62.97,No Rain,0,0,Very Humid,Comfortable,Low,88.35468999,0.5163,72.36885949,0.159908759,-9.398859489,5478.39,0
Apopka,06/01/2022,60.95,51.1,71.62,68.74,65.89,71.56,51.64,74,0,0,164.96,3.28,0,22.12,312,1013,96,55.57,2022,1,6,3,1,1,Winter,20.52,5.67,Mild,58.73999,22.12,Calm,60.95,No Rain,0,0,Humid,Comfortable,Low,85.58830403,0.5837,72.36885949,0.159908759,-11.41885949,4510.3,0
Apopka,07/01/2022,64.25,52.02,73.38,69.54,67.59,72,56.9,77,0.01,0.01,153.47,5.32,0.09,17.34,348,1017,96,59.73,2022,1,7,4,1,1,Winter,21.36,4.41,Mild,62.788925,17.25,Light,64.25,Light,1,0.04,Humid,Comfortable,Low,93.89765875,0.5203,72.36885949,0.159908759,-8.118859489,4947.25,0.0532
Apopka,08/01/2022,62.67,49.24,76.87,68.35,65.12,71.83,54.86,77,0,0,179.11,5.97,0.56,20.45,77,1024,96,57.98,2022,1,8,5,1,1,Winter,27.63,6.71,Mild,60.807447,19.89,Light,62.67,No Rain,0,0,Humid,Comfortable,Low,91.13455853,0.6053,72.36885949,0.159908759,-9.698859489,4825.59,0
Apopka,09/01/2022,69.15,58.66,81.99,69.71,66.74,73.06,62.49,81,0,0,132.61,4.81,0.02,22.15,121,1023,96,64.8,2022,1,9,6,1,1,Winter,23.33,6.32,Mild,68.922795,22.13,Calm,69.15,No Rain,0,0,Very Humid,Sticky,Low,98.12045647,0.2349,72.36885949,0.159908759,-3.218859489,5601.15,0
Apopka,10/01/2022,66.62,57.13,76.5,70.59,68.63,72.39,62.79,88,0.01,0.01,107.15,6.08,0,22.5,299,1020,96,64.12,2022,1,10,0,1,2,Winter,19.37,3.76,Mild,65.638448,22.5,Light,66.62,Light,1,0.04,Very Humid,Sticky,Low,89.66369968,0.4322,72.36885949,0.159908759,-5.748859489,5862.56,0.0608
