FAWN Station,Period,Temp_avg (F),T_min (F),T_max (F),DewPt_avg (F),RelHum_avg (pct),Rain_tot (in),Rain_max over 15min (in),SolRad_avg @ 2m (w/m^2),Wind_avg @ 10m (mph),Wind_min @ 10m (mph),Wind_max @ 10m (mph),Wind_Dir_avg @ 10m (deg),Barametric_Pre_avg (mb),N_obs,WetBulb @ 2m (F),Month,Day,Two std above Temp_min Mean,Two std below Temp_min Mean,upper_bound,lower_bound,Temp_min_outlier
Apopka,1/1/2022,73.4,66.4,82.4,65.34,78,0,0,156.5,4.29,0,17.83,196,1014,96,67.97,January,Saturday,70.13050244,20.96458716,67.7183745,31.88184056,FALSE
Apopka,1/2/2022,73.41,67.06,81.93,68.16,84,0,0,124.04,5.42,0.13,18.36,221,1013,96,69.8,January,Sunday,70.13050244,20.96458716,67.7183745,31.88184056,FALSE
Apopka,1/3/2022,61.63,47.97,71.69,50.1,68,0.03,0.03,178.06,9.36,0.43,28.5,309,1016,96,55.06,January,Monday,70.13050244,20.96458716,67.7183745,31.88184056,FALSE
Apopka,1/4/2022,58.21,43.94,72.05,51.42,80,0,0,144.97,5.12,0.05,16.96,39,1019,96,54.32,January,Tuesday,70.13050244,20.96458716,67.7183745,31.88184056,FALSE
Apopka,1/5/2022,62.97,54.84,74.03,58.64,87,0,0,116.53,4.12,0.02,14.23,353,1014,96,60.27,January,Wednesday,70.13050244,20.96458716,67.7183745,31.88184056,FALSE
Apopka,1/6/2022,60.95,51.1,71.62,51.64,74,0,0,164.96,3.28,0,22.12,312,1013,96,55.57,January,Thursday,70.13050244,20.96458716,67.7183745,31.88184056,FALSE
Apopka,1/7/2022,64.25,52.02,73.38,56.9,77,0.01,0.01,153.47,5.32,0.09,17.34,348,1017,96,59.73,January,Friday,70.13050244,20.96458716,67.7183745,31.88184056,FALSE
Apopka,1/8/2022,62.67,49.24,76.87,54.86,77,0,0,179.11,5.97,0.56,20.45,77,1024,96,57.98,January,Saturday,70.13050244,20.96458716,67.7183745,31.88184056,FALSE
Apopka,1/9/2022,69.15,58.66,81.99,62.49,81,0,0,132.61,4.81,0.02,22.15,121,1023,96,64.8,January,Sunday,70.13050244,20.96458716,67.7183745,31.88184056,FALSE
Apopka,1/10/2022,66.62,57.13,76.5,62.79,88,0.01,0.01,107.15,6.08,0,22.5,299,1020,96,64.12,January,Monday,70.13050244,20.96458716,67.7183745,31.88184056,FALSE
Apopka,1/11/2022,57.51,48.58,69.28,47.6,71,0,0,167.87,8.22,0.25,22.12,25,1023,96,52.08,January,Tuesday,70.13050244,20.96458716,67.7183745,31.88184056,FALSE
Apopka,1/12/2022,60.42,50.88,72.21,51.43,75,0,0,150.64,5.81,0.76,17.76,49,1019,96,55.24,January,Wednesday,70.13050244,20.96458716,67.7183745,31.88184056,FALSE
Apopka,1/13/2022,60.15,51.44,70.23,52.41,77,0.03,0.03,174.85,6.15,0.02,24.43,305,1012,96,55.65,January,Thursday,70.13050244,20.96458716,67.7183745,31.88184056,FALSE
Apopka,1/14/2022,56.07,48.67,65.93,43.18,65,0,0,184.65,5.77,0,17.6,303,1011,96,49.38,January,Friday,70.13050244,20.96458716,67.7183745,31.88184056,FALSE
Apopka,1/15/2022,56.88,40.92,72.5,46.17,71,0,0,175.92,3.24,0,15.64,168,1013,96,51.11,January,Saturday,70.13050244,20.96458716,67.7183745,31.88184056,FALSE
Apopka,1/16/2022,62.23,57.76,66.7,54.57,76,0.54,0.3,70.24,12.94,1.25,38.23,230,1005,96,57.65,January,Sunday,70.13050244,20.96458716,67.7183745,31.88184056,FALSE
Apopka,1/17/2022,53.48,46.96,58.89,45.05,74,0,0,171.31,11.17,0.92,28.97,292,1011,96,49.05,January,Monday,70.13050244,20.96458716,67.7183745,31.88184056,FALSE
Apopka,1/18/2022,46.39,36.27,57.63,38.45,75,0,0,191.74,4.53,0.05,16.33,336,1019,96,42.66,January,Tuesday,70.13050244,20.96458716,67.7183745,31.88184056,FALSE
